taxon,date,season,type,sample,process,sample.type,land.use,site,wet.mass,moisture,calc.dry.mass,temp,count
Unknown,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Hymenoptera,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Coleoptera,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Hemiptera,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Diptera,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Blattodea,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Thysanoptera,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Psocoptera,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Lepidoptera,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Orthoptera,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Trichoptera,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Neuroptera,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Zoraptera,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Mecoptera,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Dermaptera,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Zygentoma,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Embioptera,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Archaeognatha,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Protura,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Diplura,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Entomobryomorpha,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Poduromorpha,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Symphypleona,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Oribatida,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Mesostigmata,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Trombidiformes,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
other.acari,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Araneae,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Opiliones,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Scorpiones,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Pseudoscorpiones,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Ixodida,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Ricinulei,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Schizomida,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Palpigradi,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Chilopoda,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Geophilomorpha,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Lithobiomorpha,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Scolopendromorpha,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Scutigeromorpha,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Diplopoda,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Polyxenida,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Chordeumatida,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Polydesmida,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Spirobolida,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Spirostreptida,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
other.diplopoda,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Symphyla,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Tetramerocerata,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Isopoda,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Amphipoda,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Annelida,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Gastropoda,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Euonychophora,20/11/2022,wet,soil,1,m,soil,secondary,Achotines,1841,40,1104.6,,
Unknown,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Hymenoptera,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,9
Coleoptera,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,3
Hemiptera,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,6
Diptera,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,10
Blattodea,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Thysanoptera,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Psocoptera,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Lepidoptera,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,9
Orthoptera,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Trichoptera,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Neuroptera,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Zoraptera,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Mecoptera,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Dermaptera,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Zygentoma,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Embioptera,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Archaeognatha,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Protura,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,3
Diplura,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Entomobryomorpha,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,35
Poduromorpha,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,5
Symphypleona,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,7
Oribatida,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,64
Mesostigmata,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Trombidiformes,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
other.acari,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,42
Araneae,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Opiliones,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Scorpiones,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Pseudoscorpiones,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,3
Ixodida,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Ricinulei,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Schizomida,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,2
Palpigradi,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Chilopoda,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,1
Geophilomorpha,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Lithobiomorpha,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Scolopendromorpha,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Scutigeromorpha,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Diplopoda,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,24
Polyxenida,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Chordeumatida,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Polydesmida,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Spirobolida,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Spirostreptida,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
other.diplopoda,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Symphyla,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,3
Tetramerocerata,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Isopoda,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,1
Amphipoda,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Annelida,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Gastropoda,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Euonychophora,20/11/2022,wet,soil,1,t,soil,secondary,Achotines,1088,40,652.8,,0
Unknown,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Hymenoptera,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,3
Coleoptera,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,14
Hemiptera,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,6
Diptera,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Blattodea,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,9
Thysanoptera,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,1
Psocoptera,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Lepidoptera,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Orthoptera,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Trichoptera,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Neuroptera,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Zoraptera,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Mecoptera,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Dermaptera,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Zygentoma,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Embioptera,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Archaeognatha,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Protura,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,1
Diplura,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Entomobryomorpha,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,7
Poduromorpha,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Symphypleona,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,5
Oribatida,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,35
Mesostigmata,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Trombidiformes,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
other.acari,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,7
Araneae,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,2
Opiliones,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Scorpiones,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Pseudoscorpiones,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Ixodida,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Ricinulei,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Schizomida,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Palpigradi,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Chilopoda,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,1
Geophilomorpha,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Lithobiomorpha,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Scolopendromorpha,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Scutigeromorpha,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Diplopoda,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,7
Polyxenida,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Chordeumatida,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Polydesmida,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Spirobolida,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Spirostreptida,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
other.diplopoda,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Symphyla,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,2
Tetramerocerata,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,1
Isopoda,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Amphipoda,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Annelida,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Gastropoda,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Euonychophora,20/11/2022,wet,soil,2,t,soil,pasture,Achotines,933,40,559.8,,0
Unknown,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Hymenoptera,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,41
Coleoptera,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,8
Hemiptera,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,11
Diptera,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,3
Blattodea,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Thysanoptera,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Psocoptera,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,1
Lepidoptera,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Orthoptera,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Trichoptera,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Neuroptera,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Zoraptera,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Mecoptera,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Dermaptera,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Zygentoma,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Embioptera,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Archaeognatha,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Protura,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Diplura,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Entomobryomorpha,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,30
Poduromorpha,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Symphypleona,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,3
Oribatida,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,66
Mesostigmata,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Trombidiformes,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
other.acari,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,12
Araneae,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,1
Opiliones,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Scorpiones,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Pseudoscorpiones,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,2
Ixodida,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Ricinulei,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Schizomida,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Palpigradi,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Chilopoda,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Geophilomorpha,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Lithobiomorpha,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Scolopendromorpha,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Scutigeromorpha,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Diplopoda,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,8
Polyxenida,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Chordeumatida,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Polydesmida,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Spirobolida,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Spirostreptida,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
other.diplopoda,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Symphyla,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,3
Tetramerocerata,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Isopoda,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Amphipoda,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Annelida,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,1
Gastropoda,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Euonychophora,20/11/2022,wet,soil,3,t,soil,silvopasture,Achotines,886,40,531.6,,0
Unknown,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Hymenoptera,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,84
Coleoptera,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,3
Hemiptera,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,41
Diptera,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,1
Blattodea,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Thysanoptera,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Psocoptera,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Lepidoptera,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Orthoptera,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Trichoptera,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Neuroptera,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Zoraptera,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Mecoptera,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Dermaptera,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Zygentoma,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Embioptera,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Archaeognatha,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Protura,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,2
Diplura,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,1
Entomobryomorpha,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,5
Poduromorpha,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Symphypleona,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,1
Oribatida,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,40
Mesostigmata,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Trombidiformes,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
other.acari,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,3
Araneae,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Opiliones,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Scorpiones,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Pseudoscorpiones,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Ixodida,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Ricinulei,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Schizomida,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Palpigradi,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Chilopoda,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Geophilomorpha,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Lithobiomorpha,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Scolopendromorpha,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Scutigeromorpha,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Diplopoda,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,1
Polyxenida,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Chordeumatida,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Polydesmida,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Spirobolida,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Spirostreptida,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
other.diplopoda,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Symphyla,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Tetramerocerata,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Isopoda,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,1
Amphipoda,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
Annelida,20/11/2022,wet,soil,4,t,soil,teak,Achotines,1015,40,609,,0
